"Año";"Periodo";"Grados por encima o por debajo del promedio del mismo mes en el periodo 1981-2010"
"1979";"Enero";"-0,23"
"1979";"Febrero";"-0,49"
"1979";"Marzo";"-0,29"
"1979";"Abril";"-0,33"
"1979";"Mayo";"-0,29"
"1979";"Junio";"-0,26"
"1979";"Julio";"-0,33"
"1979";"Agosto";"-0,23"
"1979";"Septiembre";"-0,18"
"1979";"Octubre";"-0,12"
"1979";"Noviembre";"-0,15"
"1979";"Diciembre";"0,07"
"1980";"Enero";"-0,11"
"1980";"Febrero";"-0,05"
"1980";"Marzo";"-0,08"
"1980";"Abril";"0"
"1980";"Mayo";"0,07"
"1980";"Junio";"-0,08"
"1980";"Julio";"-0,04"
"1980";"Agosto";"-0,11"
"1980";"Septiembre";"-0,17"
"1980";"Octubre";"-0,22"
"1980";"Noviembre";"-0,19"
"1980";"Diciembre";"-0,27"
"1981";"Enero";"0,02"
"1981";"Febrero";"-0,05"
"1981";"Marzo";"0,03"
"1981";"Abril";"-0,03"
"1981";"Mayo";"-0,07"
"1981";"Junio";"-0,08"
"1981";"Julio";"-0,07"
"1981";"Agosto";"-0,06"
"1981";"Septiembre";"-0,14"
"1981";"Octubre";"-0,18"
"1981";"Noviembre";"-0,19"
"1981";"Diciembre";"-0,04"
"1982";"Enero";"-0,39"
"1982";"Febrero";"-0,29"
"1982";"Marzo";"-0,44"
"1982";"Abril";"-0,36"
"1982";"Mayo";"-0,21"
"1982";"Junio";"-0,25"
"1982";"Julio";"-0,17"
"1982";"Agosto";"-0,28"
"1982";"Septiembre";"-0,27"
"1982";"Octubre";"-0,28"
"1982";"Noviembre";"-0,28"
"1982";"Diciembre";"-0,03"
"1983";"Enero";"0,04"
"1983";"Febrero";"0"
"1983";"Marzo";"0,01"
"1983";"Abril";"-0,09"
"1983";"Mayo";"0,03"
"1983";"Junio";"-0,09"
"1983";"Julio";"-0,15"
"1983";"Agosto";"-0,07"
"1983";"Septiembre";"0"
"1983";"Octubre";"-0,24"
"1983";"Noviembre";"-0,12"
"1983";"Diciembre";"-0,23"
"1984";"Enero";"-0,21"
"1984";"Febrero";"-0,36"
"1984";"Marzo";"-0,2"
"1984";"Abril";"-0,29"
"1984";"Mayo";"-0,05"
"1984";"Junio";"-0,33"
"1984";"Julio";"-0,36"
"1984";"Agosto";"-0,26"
"1984";"Septiembre";"-0,29"
"1984";"Octubre";"-0,28"
"1984";"Noviembre";"-0,42"
"1984";"Diciembre";"-0,4"
"1985";"Enero";"-0,23"
"1985";"Febrero";"-0,5"
"1985";"Marzo";"-0,34"
"1985";"Abril";"-0,29"
"1985";"Mayo";"-0,28"
"1985";"Junio";"-0,29"
"1985";"Julio";"-0,37"
"1985";"Agosto";"-0,22"
"1985";"Septiembre";"-0,32"
"1985";"Octubre";"-0,41"
"1985";"Noviembre";"-0,36"
"1985";"Diciembre";"-0,35"
"1986";"Enero";"-0,24"
"1986";"Febrero";"-0,18"
"1986";"Marzo";"-0,22"
"1986";"Abril";"-0,12"
"1986";"Mayo";"-0,11"
"1986";"Junio";"-0,27"
"1986";"Julio";"-0,28"
"1986";"Agosto";"-0,26"
"1986";"Septiembre";"-0,33"
"1986";"Octubre";"-0,35"
"1986";"Noviembre";"-0,26"
"1986";"Diciembre";"-0,25"
"1987";"Enero";"-0,14"
"1987";"Febrero";"-0,09"
"1987";"Marzo";"-0,29"
"1987";"Abril";"-0,15"
"1987";"Mayo";"-0,11"
"1987";"Junio";"-0,02"
"1987";"Julio";"0,08"
"1987";"Agosto";"-0,09"
"1987";"Septiembre";"-0,03"
"1987";"Octubre";"-0,11"
"1987";"Noviembre";"-0,14"
"1987";"Diciembre";"0,07"
"1988";"Enero";"0,06"
"1988";"Febrero";"-0,14"
"1988";"Marzo";"0"
"1988";"Abril";"-0,01"
"1988";"Mayo";"0,06"
"1988";"Junio";"0,02"
"1988";"Julio";"-0,03"
"1988";"Agosto";"0,01"
"1988";"Septiembre";"0,01"
"1988";"Octubre";"-0,11"
"1988";"Noviembre";"-0,33"
"1988";"Diciembre";"-0,17"
"1989";"Enero";"-0,41"
"1989";"Febrero";"-0,14"
"1989";"Marzo";"-0,16"
"1989";"Abril";"-0,13"
"1989";"Mayo";"-0,25"
"1989";"Junio";"-0,23"
"1989";"Julio";"-0,07"
"1989";"Agosto";"-0,15"
"1989";"Septiembre";"-0,09"
"1989";"Octubre";"-0,14"
"1989";"Noviembre";"-0,25"
"1989";"Diciembre";"-0,04"
"1990";"Enero";"-0,04"
"1990";"Febrero";"-0,08"
"1990";"Marzo";"0,27"
"1990";"Abril";"0,13"
"1990";"Mayo";"0,14"
"1990";"Junio";"-0,01"
"1990";"Julio";"0,09"
"1990";"Agosto";"0,01"
"1990";"Septiembre";"-0,03"
"1990";"Octubre";"0,08"
"1990";"Noviembre";"0,12"
"1990";"Diciembre";"0,05"
"1991";"Enero";"0,03"
"1991";"Febrero";"0,07"
"1991";"Marzo";"-0,06"
"1991";"Abril";"0,06"
"1991";"Mayo";"-0,02"
"1991";"Junio";"0,2"
"1991";"Julio";"0,12"
"1991";"Agosto";"0,04"
"1991";"Septiembre";"-0,01"
"1991";"Octubre";"-0,11"
"1991";"Noviembre";"-0,12"
"1991";"Diciembre";"-0,14"
"1992";"Enero";"-0,02"
"1992";"Febrero";"-0,05"
"1992";"Marzo";"-0,05"
"1992";"Abril";"-0,24"
"1992";"Mayo";"-0,18"
"1992";"Junio";"-0,15"
"1992";"Julio";"-0,29"
"1992";"Agosto";"-0,31"
"1992";"Septiembre";"-0,41"
"1992";"Octubre";"-0,36"
"1992";"Noviembre";"-0,38"
"1992";"Diciembre";"-0,26"
"1993";"Enero";"-0,12"
"1993";"Febrero";"-0,11"
"1993";"Marzo";"-0,17"
"1993";"Abril";"-0,14"
"1993";"Mayo";"-0,13"
"1993";"Junio";"-0,13"
"1993";"Julio";"-0,18"
"1993";"Agosto";"-0,21"
"1993";"Septiembre";"-0,32"
"1993";"Octubre";"-0,19"
"1993";"Noviembre";"-0,31"
"1993";"Diciembre";"-0,15"
"1994";"Enero";"-0,2"
"1994";"Febrero";"-0,44"
"1994";"Marzo";"-0,22"
"1994";"Abril";"-0,1"
"1994";"Mayo";"-0,19"
"1994";"Junio";"-0,08"
"1994";"Julio";"-0,11"
"1994";"Agosto";"-0,21"
