"Año";"Periodo";"Superficie"
"1979";"Año";"7,05"
"1980";"Año";"7,67"
"1981";"Año";"7,14"
"1982";"Año";"7,3"
"1983";"Año";"7,39"
"1984";"Año";"6,81"
"1985";"Año";"6,7"
"1986";"Año";"7,41"
"1987";"Año";"7,28"
"1988";"Año";"7,37"
"1989";"Año";"7,01"
"1990";"Año";"6,14"
"1991";"Año";"6,47"
"1992";"Año";"7,47"
"1993";"Año";"6,4"
"1994";"Año";"7,14"
"1995";"Año";"6,08"
"1996";"Año";"7,58"
"1997";"Año";"6,69"
"1998";"Año";"6,54"
"1999";"Año";"6,12"
"2000";"Año";"6,25"
"2001";"Año";"6,73"
"2002";"Año";"5,83"
"2003";"Año";"6,12"
"2004";"Año";"5,98"
"2005";"Año";"5,5"
"2006";"Año";"5,86"
"2007";"Año";"4,27"
"2008";"Año";"4,69"
"2009";"Año";"5,26"
"2010";"Año";"4,87"
"2011";"Año";"4,56"
"2012";"Año";"3,57"
"2013";"Año";"5,21"
"2014";"Año";"5,22"
"2015";"Año";"4,62"
"2016";"Año";"4,53"
"2017";"Año";"4,82"
"2018";"Año";"4,79"
"2019";"Año";"4,36"
"2020";"Año";"4"
"2021";"Año";"4,92"
;;
;;
"Métrica":"Superficie"
"Fuente":"NSIDC/NASA"
"Clasificación":""
"Unidad":"km²"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-superficie-artico/1f1ff5e2-ae68-4a4e-9a28-4990e7e698ed"
"Titulo":"Evolución del mínimo de hielo marino del Ártico"
"Subtitulo":"Superficie en septiembre de cada año"
